family_or_target	major_category	pollutant_or_role	evidence_class	default_confidence	uniprot_query	interpretation_rule	specificity_class	headline_category_allowed
atzC	Pesticides	Atrazine	Direct	High	gene_exact:atzC	N-isopropylammelide isopropylaminohydrolase.	direct_family	YES
opd	Pesticides	Organophosphates	Direct	High	gene_exact:opd	Organophosphorus hydrolase family.	direct_family	YES
mpd	Pesticides	Methyl parathion	Direct	High	gene_exact:mpd	Methyl parathion hydrolase.	direct_family	YES
tfdA	Pesticides	2,4-D	Direct	High	gene_exact:tfdA	2,4-dichlorophenoxyacetate dioxygenase.	direct_family	YES
pnpA	Nitroaromatics	p-Nitrophenol	Direct	High	gene_exact:pnpA	p-Nitrophenol degradation pathway enzyme.	direct_family	YES
nitronate monooxygenase	Nitro compounds	Nitroalkanes	Candidate	Moderate	"protein_name:""nitronate monooxygenase"""	Nitrocompound transformation.	candidate_family	YES
PETase	Microplastics / polymers	PET	Direct	High	"protein_name:""poly(ethylene terephthalate) hydrolase"""	Direct PET depolymerization family; include experimentally supported PET hydrolases.	polymer_specific	YES
IsPETase	Microplastics / polymers	PET	Direct	High	accession:A0A0K8P6T7	Reviewed PET hydrolase from I. sakaiensis/P. sakaiensis; seed reference.	polymer_specific	YES
MHETase	Microplastics / polymers	PET intermediate MHET	Direct	High	"protein_name:""mono(2-hydroxyethyl) terephthalate hydrolase"""	Hydrolyzes MHET to terephthalate and ethylene glycol.	polymer_specific	YES
IsMHETase	Microplastics / polymers	PET intermediate MHET	Direct	High	accession:A0A0K8P8E7	Reviewed MHETase seed reference.	polymer_specific	YES
cutinase-like PET hydrolase	Microplastics / polymers	PET	Candidate	Moderate	"protein_name:""cutinase"""	Some cutinases depolymerize PET; cutinase family membership alone is insufficient.	polymer_candidate	YES
polyester hydrolase	Microplastics / polymers	Polyesters	Candidate	Moderate	"protein_name:""polyester hydrolase"""	Potential polyester depolymerization; substrate/polymer must be verified.	polymer_candidate	YES
polyurethane esterase	Microplastics / polymers	Polyurethane	Candidate	Moderate	"protein_name:""polyurethane esterase"""	Polyurethane-associated esterase family; direct activity must be verified.	polymer_candidate	YES
polyurethanase	Microplastics / polymers	Polyurethane	Candidate	Moderate	"protein_name:""polyurethanase"""	Polyurethane degradation candidate.	polymer_candidate	YES
lipase	Microplastics / polymers	Polyesters / PU support	Supporting	Low	"protein_name:""lipase"""	Very broad family; never report as plastic-degrading without stronger evidence.	broad_family	NO
esterase	Microplastics / polymers	Polyesters / PU support	Supporting	Low	"protein_name:""esterase"""	Very broad family; use only with domain/context/reference support.	broad_family	NO
laccase plastic-associated	Microplastics / polymers	Oxidative polymer weathering	Candidate	Low	"protein_name:""laccase"""	Oxidative enzyme sometimes associated with polymer modification; not direct proof of plastic degradation.	broad_family	NO
peroxidase plastic-associated	Microplastics / polymers	Oxidative polymer weathering	Candidate	Low	"protein_name:""peroxidase"""	Broad oxidative family; requires polymer-specific evidence.	broad_family	NO
cytochrome P450	Xenobiotics	Oxidative transformation	Candidate	Moderate	"protein_name:""cytochrome P450"""	Broad superfamily; P450 membership alone does not prove bioremediation.	candidate_family	YES
gcoA	Xenobiotics	Guaiacol/aromatic O-demethylation	Direct	High	gene_exact:gcoA	P450 component of aromatic O-demethylase system.	direct_family	YES
sodA	Stress support	Oxidative stress	Supporting	Moderate	gene_exact:sodA	ROS defense; supports survival in contaminated environments.	supporting_family	NO
katA	Stress support	Oxidative stress	Supporting	Moderate	gene_exact:katA	Catalase; ROS defense.	supporting_family	NO
katE	Stress support	Oxidative stress	Supporting	Moderate	gene_exact:katE	Catalase HPII; ROS defense.	supporting_family	NO
ahpC	Stress support	Oxidative stress	Supporting	Moderate	gene_exact:ahpC	Peroxide detoxification.	supporting_family	NO
trxB	Stress support	Redox homeostasis	Supporting	Moderate	gene_exact:trxB	Thioredoxin reductase.	supporting_family	NO
uvrA	Stress support	UV/DNA repair	Supporting	Moderate	gene_exact:uvrA	Nucleotide excision repair.	supporting_family	NO
uvrB	Stress support	UV/DNA repair	Supporting	Moderate	gene_exact:uvrB	Nucleotide excision repair.	supporting_family	NO
uvrC	Stress support	UV/DNA repair	Supporting	Moderate	gene_exact:uvrC	Nucleotide excision repair.	supporting_family	NO
recA	Stress support	DNA damage response	Supporting	Moderate	gene_exact:recA	SOS/DNA repair.	supporting_family	NO
lexA	Stress support	DNA damage response	Supporting	Moderate	gene_exact:lexA	SOS regulator.	supporting_family	NO
